symbol,tf,strategy,key,weight,ts_utc
nan,1h,nan,nan|1h|nan,0.5827485927022935,20250821_010155
nan,1h,nan,nan|1h|nan,0.33133233428808434,20250821_010155
nan,1h,nan,nan|1h|nan,0.08591907300962222,20250821_010155
