"symbol","expected","actual","ratio"
"ETHUSDT","25","24","0.9600"
"BTCUSDT","25","24","0.9600"
"SOLUSDT","25","24","0.9600"
"XRPUSDT","25","24","0.9600"
"LINKUSDT","25","24","0.9600"
"DOGEUSDT","25","24","0.9600"
"ADAUSDT","25","24","0.9600"
"API3USDT","25","24","0.9600"
"BNBUSDT","25","24","0.9600"
"BIOUSDT","25","24","0.9600"
"SUIUSDT","25","24","0.9600"
"ENAUSDT","25","24","0.9600"
"1000PEPEUSDT","25","24","0.9600"
"MEMEUSDT","25","24","0.9600"
"AIOTUSDT","25","24","0.9600"
"ARBUSDT","25","24","0.9600"
"AVAXUSDT","25","24","0.9600"
"FARTCOINUSDT","25","24","0.9600"
"PENGUUSDT","25","24","0.9600"
"HYPEUSDT","25","24","0.9600"
"LTCUSDT","25","24","0.9600"
"PUMPUSDT","25","24","0.9600"
"OGNUSDT","25","24","0.9600"
"WIFUSDT","25","24","0.9600"
"MYXUSDT","25","24","0.9600"
"CFXUSDT","25","24","0.9600"
"AAVEUSDT","25","24","0.9600"
"TRXUSDT","25","24","0.9600"
"TRUMPUSDT","25","24","0.9600"
"UNIUSDT","25","24","0.9600"
"LDOUSDT","25","24","0.9600"
"1000BONKUSDT","25","24","0.9600"
"UMAUSDT","25","24","0.9600"
"XNYUSDT","25","24","0.9600"
"DOTUSDT","25","24","0.9600"
"SAPIENUSDT","8","7","0.8750"
"CRVUSDT","25","24","0.9600"
"OPUSDT","25","24","0.9600"
"XLMUSDT","25","24","0.9600"
"SEIUSDT","25","24","0.9600"
"NEARUSDT","25","24","0.9600"
"WLDUSDT","25","24","0.9600"
"HBARUSDT","25","24","0.9600"
"MUSDT","25","24","0.9600"
"PROVEUSDT","25","24","0.9600"
"HYPERUSDT","25","24","0.9600"
"FILUSDT","25","24","0.9600"
"1000SHIBUSDT","25","24","0.9600"
"INJUSDT","25","24","0.9600"
"BCHUSDT","25","24","0.9600"
