ts,balance,unreal,equity
2025-08-20T23:37:58.834984,997.248875,-2.75,994.498875
2025-08-20T23:38:12.651061,994.497756,0.0,994.497756
2025-08-20T23:38:25.414805,991.746892,2.734869,994.481761
2025-08-20T23:38:38.089221,988.995787,5.454608,994.450394
2025-08-20T23:38:50.709779,987.481301,9.39546,996.876761
2025-08-20T23:39:03.332849,987.462377,12.343516,999.805893
2025-08-20T23:39:16.011468,987.462141,12.34328,999.80542
2025-08-20T23:39:28.605116,987.462138,12.343277,999.805414
2025-08-20T23:39:41.022112,987.462138,12.343277,999.805414
2025-08-20T23:39:53.651494,987.462138,12.343277,999.805414
2025-08-20T23:40:05.901957,987.462138,12.343277,999.805414
2025-08-20T23:40:18.360771,987.462138,12.343277,999.805414
2025-08-20T23:40:31.097057,987.462138,12.343277,999.805414
2025-08-20T23:40:43.842443,987.462138,12.343277,999.805414
2025-08-20T23:40:56.448142,987.462138,12.343277,999.805414
2025-08-20T23:41:08.904152,987.462138,12.343277,999.805414
2025-08-20T23:41:20.399667,987.462138,12.343277,999.805414
2025-08-20T23:41:31.283047,987.462138,12.343277,999.805414
2025-08-20T23:41:42.433015,987.462138,12.343277,999.805414
2025-08-20T23:41:53.520934,987.462138,12.343277,999.805414
2025-08-20T23:42:04.455783,987.462138,12.343277,999.805414
2025-08-20T23:42:15.508656,987.462138,12.343277,999.805414
2025-08-20T23:42:26.643128,987.462138,12.343277,999.805414
2025-08-20T23:42:37.861347,987.462138,12.343277,999.805414
2025-08-20T23:42:49.085028,987.462138,12.343277,999.805414
2025-08-20T23:43:00.300648,987.462138,12.343277,999.805414
2025-08-20T23:43:11.387716,987.462138,12.343277,999.805414
2025-08-20T23:43:22.274442,987.462138,12.343277,999.805414
2025-08-20T23:43:33.150288,987.462138,12.343277,999.805414
2025-08-20T23:43:44.096965,987.462138,12.343277,999.805414
2025-08-20T23:43:55.121829,987.462138,12.343277,999.805414
2025-08-20T23:44:06.201829,987.462138,12.343277,999.805414
2025-08-20T23:44:17.596612,987.462138,12.343277,999.805414
2025-08-20T23:44:28.639928,987.462138,12.343277,999.805414
2025-08-20T23:44:39.720768,987.462138,12.343277,999.805414
2025-08-20T23:44:51.136284,987.462138,12.343277,999.805414
2025-08-20T23:45:02.257537,987.462138,12.343277,999.805414
2025-08-20T23:45:13.192433,987.462138,12.343277,999.805414
2025-08-20T23:45:24.290232,987.462138,12.343277,999.805414
2025-08-20T23:45:35.551357,987.462138,12.343277,999.805414
2025-08-20T23:45:46.678511,987.462138,12.343277,999.805414
2025-08-20T23:52:23.303018,997.248875,-2.75,994.498875
2025-08-20T23:52:34.628772,994.497756,-0.0,994.497756
2025-08-20T23:52:45.856734,989.014882,0.0,989.014882
2025-08-20T23:53:03.887349,997.248875,-2.75,994.498875
2025-08-20T23:53:15.057174,994.497756,0.0,994.497756
2025-08-20T23:53:26.210554,991.746892,2.734869,994.481761
2025-08-20T23:53:37.386874,988.995787,5.454608,994.450394
2025-08-20T23:53:48.575465,987.481301,9.39546,996.876761
2025-08-20T23:54:00.097744,987.462377,12.343516,999.805893
2025-08-20T23:54:11.235920,987.462141,12.34328,999.80542
2025-08-20T23:54:22.410563,987.462138,12.343277,999.805414
2025-08-20T23:54:33.409058,987.462138,12.343277,999.805414
2025-08-20T23:54:44.475439,987.462138,12.343277,999.805414
2025-08-20T23:54:55.459588,987.462138,12.343277,999.805414
2025-08-20T23:55:06.785705,987.462138,12.343277,999.805414
2025-08-20T23:55:17.781424,987.462138,12.343277,999.805414
2025-08-20T23:55:28.717235,987.462138,12.343277,999.805414
2025-08-20T23:55:39.722397,987.462138,12.343277,999.805414
2025-08-20T23:55:50.611550,987.462138,12.343277,999.805414
2025-08-20T23:56:01.642746,987.462138,12.343277,999.805414
2025-08-20T23:56:12.656012,987.462138,12.343277,999.805414
2025-08-20T23:56:23.784821,987.462138,12.343277,999.805414
2025-08-20T23:56:35.026823,987.462138,12.343277,999.805414
2025-08-20T23:56:46.314594,987.462138,12.343277,999.805414
2025-08-20T23:56:57.451501,987.462138,12.343277,999.805414
2025-08-20T23:57:08.507720,987.462138,12.343277,999.805414
2025-08-20T23:57:19.503656,987.462138,12.343277,999.805414
2025-08-20T23:57:30.472387,987.462138,12.343277,999.805414
2025-08-20T23:57:41.395358,987.462138,12.343277,999.805414
2025-08-20T23:57:52.436415,987.462138,12.343277,999.805414
2025-08-20T23:58:03.860172,987.462138,12.343277,999.805414
2025-08-20T23:58:15.200379,987.462138,12.343277,999.805414
2025-08-20T23:58:26.318441,987.462138,12.343277,999.805414
2025-08-20T23:58:37.615095,987.462138,12.343277,999.805414
2025-08-20T23:58:48.724311,987.462138,12.343277,999.805414
2025-08-20T23:58:59.754428,987.462138,12.343277,999.805414
2025-08-20T23:59:10.822658,987.462138,12.343277,999.805414
2025-08-20T23:59:21.905283,987.462138,12.343277,999.805414
2025-08-20T23:59:33.155550,987.462138,12.343277,999.805414
2025-08-20T23:59:44.499078,987.462138,12.343277,999.805414
2025-08-20T23:59:55.390238,987.462138,12.343277,999.805414
2025-08-21T00:00:06.470150,987.396539,-11.849546,975.546994
2025-08-21T00:00:17.613513,987.39572,12.342457,999.738176
2025-08-21T00:00:28.755470,987.395709,12.342446,999.738156
2025-08-21T00:00:39.997552,987.395709,12.342446,999.738156
2025-08-21T00:00:51.197211,987.395709,12.342446,999.738156
2025-08-21T00:01:02.276286,987.395709,12.342446,999.738156
2025-08-21T00:01:13.360606,987.395709,12.342446,999.738156
2025-08-21T00:01:24.479682,987.395709,12.342446,999.738156
2025-08-21T00:01:35.426387,987.395709,12.342446,999.738156
2025-08-21T00:01:46.491220,987.395709,12.342446,999.738156
2025-08-21T00:01:57.486567,987.395709,12.342446,999.738156
2025-08-21T00:02:08.383125,987.395709,12.342446,999.738156
2025-08-21T00:02:19.502479,987.395709,12.342446,999.738156
2025-08-21T00:02:30.878309,987.395709,12.342446,999.738156
2025-08-21T00:02:42.139492,987.395709,12.342446,999.738156
2025-08-21T00:02:53.382852,987.395709,12.342446,999.738156
2025-08-21T00:03:05.382642,987.395709,12.342446,999.738156
2025-08-21T00:03:16.741992,987.395709,12.342446,999.738156
2025-08-21T00:03:27.794236,987.395709,12.342446,999.738156
2025-08-21T00:03:38.865353,987.395709,12.342446,999.738156
2025-08-21T00:03:49.986691,987.395709,12.342446,999.738156
2025-08-21T00:04:01.018841,987.395709,12.342446,999.738156
2025-08-21T00:04:11.991217,987.395709,12.342446,999.738156
2025-08-21T00:04:23.252614,987.395709,12.342446,999.738156
2025-08-21T00:04:34.359714,987.395709,12.342446,999.738156
2025-08-21T00:04:45.388244,987.395709,12.342446,999.738156
2025-08-21T00:04:56.520011,987.395709,12.342446,999.738156
2025-08-21T00:05:07.599264,987.395709,12.342446,999.738156
2025-08-21T00:05:18.841733,987.395709,12.342446,999.738156
2025-08-21T00:05:30.032354,987.395709,12.342446,999.738156
2025-08-21T00:05:41.265318,987.395709,12.342446,999.738156
2025-08-21T00:05:52.321067,987.395709,12.342446,999.738156
2025-08-21T00:06:03.230927,987.395709,12.342446,999.738156
2025-08-21T00:06:14.170928,987.395709,12.342446,999.738156
2025-08-21T00:06:25.430724,987.395709,12.342446,999.738156
2025-08-21T00:06:36.727286,987.395709,12.342446,999.738156
2025-08-21T00:06:47.784702,987.395709,12.342446,999.738156
2025-08-21T00:06:58.908662,987.395709,12.342446,999.738156
2025-08-21T00:07:10.065082,987.395709,12.342446,999.738156
2025-08-21T00:07:21.397330,987.395709,12.342446,999.738156
2025-08-21T00:07:32.567944,987.395709,12.342446,999.738156
2025-08-21T00:07:43.643102,987.395709,12.342446,999.738156
2025-08-21T00:07:54.743869,987.395709,12.342446,999.738156
2025-08-21T00:08:07.144309,987.395709,12.342446,999.738156
2025-08-21T00:08:18.200569,987.395709,12.342446,999.738156
2025-08-21T00:08:29.196581,987.395709,12.342446,999.738156
2025-08-21T00:08:40.441569,987.395709,12.342446,999.738156
2025-08-21T00:08:51.532467,987.395709,12.342446,999.738156
2025-08-21T00:09:02.351606,987.395709,12.342446,999.738156
